Subject,density,technique,trial_time,aligned(trial_time) for technique,ART-C(trial_time) for technique
19,medium,Gravity,8.4729948,4.2883385634606481340277777778,279
19,high,Three,9.505706,3.8735314037384259381944444444,276
19,low,Three,6.143592,2.0864508579050925340277777778,245
19,medium,Three,5.4733612,0.4314971141550927173611111111,179
19,high,Two,5.7332824,0.0793994530439815951388888889,164
19,low,Two,4.2139892,-0.1681270011226852465277777778,153
19,medium,Two,2.9336302,-1.7615504761226851590277777778,64
2,high,Cone,4.6448304,-0.5498728702430555256944444445,134
2,low,Cone,3.4670196000000004,-1.2858833864930550840277777778,92
2,medium,Cone,1.8131132,-2.9704603674652778006944444445,14
2,high,Gravity,7.3457178,0.6681258488773148631944444448,189
2,low,Gravity,5.499777,1.6308453634606481923611111111,226
2,medium,Gravity,3.4169069999999997,-0.7677492365393521659722222222,122
2,high,Three,3.4714846,-2.1606899962615740618055555556,46
2,low,Three,4.2104248,0.1532836579050925340277777778,167
2,medium,Three,3.4985962,-1.5432678858449072826388888889,76
2,high,Two,4.8656416,-0.7882413469560184048611111111,121
2,low,Two,4.2774018,-0.1047144011226852465277777778,158
2,medium,Two,7.088582,2.3934013238773148409722222222,251
20,high,Cone,6.1208866,0.9261833297569444743055555555,201
20,low,Cone,3.0462678,-1.7066351864930554840277777778,70
20,medium,Cone,4.1934874,-0.5900861674652778006944444445,129
20,high,Gravity,17.9876298,11.310037848877314863194444445,288
20,low,Gravity,6.432354800000001,2.5634231634606491923611111111,257
20,medium,Gravity,8.7015805,4.5169242634606481340277777778,281
20,high,Three,6.3633364,0.7311618037384259381944444444,195
20,low,Three,4.229184200000001,0.1720430579050935340277777778,168
20,medium,Three,4.0158448,-1.0260192858449072826388888889,105
20,high,Two,4.175293,-1.4785899469560184048611111111,82
20,low,Two,5.487914999999999,1.1057987988773137534722222222,208
20,medium,Two,5.070812999999999,0.3756323238773138409722222222,176
21,high,Cone,4.0961,-1.0986032702430555256944444445,99
21,low,Cone,6.7462526,1.9933496135069445159722222222,241
21,medium,Cone,3.8204223999999996,-0.9631511674652782006944444445,110
21,high,Gravity,7.5650858,0.8874938488773148631944444448,199
21,low,Gravity,3.4248846,-0.4440470365393518076388888889,137
21,medium,Gravity,3.8955874,-0.2890688365393518659722222222,146
21,high,Three,5.2308592,-0.4013153962615740618055555556,140
