Subject,technique,density,trial_time,aligned(trial_time) for density,ART-C(trial_time) for density
25,Gravity,low,2.773999,-3.4539769873379628607638888889,2
25,Gravity,medium,3.6012087999999998,-2.5314461374074075930555555556,19
25,Three,high,1.8081251999999999,-2.5280048440046297545138888889,20
25,Three,low,1.610579,-2.6748327894212963399305555555,13
25,Three,medium,2.5491064000000003,-2.3099826832407403305555555556,32
25,Two,high,1.8679932000000001,-2.4565210627546294128472222222,23
25,Two,low,2.4394592,-2.1376035165046296357638888889,42
25,Two,medium,1.8022459999999998,-2.6768355415740742222222222223,12
3,Cone,high,1.5982908,-1.8703168898379630045138888889,54
3,Cone,low,2.765088,-1.7860346056712962440972222222,57
3,Cone,medium,2.09187,-2.0788775367129630347222222223,46
3,Gravity,high,6.0086624,-1.5036587023379629086805555552,72
3,Gravity,low,5.4967163999999995,-0.7312595873379633607638888889,112
3,Gravity,medium,5.9115546000000005,-0.2211003374074068930555555556,155
3,Three,high,3.2974608000000005,-1.0386692440046291545138888889,98
3,Three,low,3.1857786,-1.0996331894212963399305555555,92
3,Three,medium,2.4992064,-2.3598826832407406305555555556,29
3,Two,high,4.3385744,0.0140601372453704871527777778,166
3,Two,low,1.929175,-2.6478877165046296357638888889,14
3,Two,medium,2.3199708,-2.1591107415740740222222222223,40
4,Cone,high,1.84497475,-1.6236329398379630045138888889,67
4,Cone,low,2.1424803999999997,-2.4086422056712965440972222222,25
4,Cone,medium,3.4807344000000002,-0.6900131367129628347222222223,117
4,Gravity,high,4.9782472,-2.5340739023379629086805555552,18
4,Gravity,low,5.163184,-1.0647919873379628607638888889,96
4,Gravity,medium,4.8896866,-1.2429683374074073930555555556,81
4,Three,high,4.4701416,0.1340115559953703454861111111,180
4,Three,low,4.0838412,-0.2015705894212963399305555555,156
4,Three,medium,2.9637572,-1.8953318832407406305555555556,52
4,Two,high,4.1700166,-0.1544976627546295128472222222,160
4,Two,low,3.3999358,-1.1771269165046296357638888889,86
4,Two,medium,3.672368,-0.8067135415740740222222222223,109
5,Cone,high,5.7001348,2.2315271101620369954861111111,250
5,Cone,low,5.995239,1.4441163943287037559027777778,227
5,Cone,medium,2.912427,-1.2583205367129630347222222223,79
5,Gravity,high,7.7180096,0.2056884976620370913194444448,184
5,Gravity,low,3.4722304,-2.7557455873379628607638888889,9
5,Gravity,medium,4.8312498,-1.3014051374074073930555555556,78
5,Three,high,4.4239014,0.0877713559953703454861111111,178
5,Three,low,3.6958742,-0.5895375894212963399305555555,125
5,Three,medium,3.1367432,-1.7223458832407406305555555556,60
5,Two,high,6.049080399999999,1.7245661372453694871527777778,232
5,Two,low,3.3373503999999996,-1.2397123165046300357638888889,82
5,Two,medium,2.919165,-1.5599165415740740222222222223,69
6,Cone,high,5.3435666,1.8749589101620369954861111111,242
6,Cone,low,4.327195,-0.2239276056712962440972222222,154
6,Cone,medium,3.923407,-0.2473405367129630347222222223,152
6,Gravity,high,9.778948799999998,2.2666276976620350913194444448,251
6,Gravity,low,8.882565,2.6545890126620371392361111111,260
6,Gravity,medium,6.498873999999999,0.3662190625925916069444444444,189
6,Three,high,8.2690582,3.9329281559953703454861111111,275
6,Three,low,4.3513886,0.0659768105787036600694444445,175
6,Three,medium,4.965545799999999,0.1064567167592583694444444444,179
6,Two,high,3.9134566,-0.4110576627546295128472222222,139
6,Two,low,5.0823548,0.5052920834953703642361111111,193
6,Two,medium,3.1754606,-1.3036209415740740222222222223,77
7,Cone,high,8.3590096,4.8904019101620369954861111111,280
7,Cone,low,5.3102052,0.7590825943287037559027777778,205
7,Cone,medium,6.025512,1.8547644632870369652777777777,239
7,Gravity,high,10.7840582,3.2717370976620370913194444448,270
7,Gravity,low,5.6909865,-0.5369894873379628607638888889,128
7,Gravity,medium,6.777459,0.6448040625925926069444444444,201
7,Three,high,6.6338074,2.2976773559953703454861111111,252
7,Three,low,4.0607225,-0.2246892894212963399305555555,153
7,Three,medium,9.181523199999999,4.3224341167592583694444444444,276
7,Two,high,4.7370849999999995,0.4125707372453699871527777778,190
7,Two,low,6.032605,1.4555422834953703642361111111,228
7,Two,medium,7.0201256,2.5410440584259259777777777777,256
8,Cone,high,5.2711134,1.8025057101620369954861111111,235
8,Cone,low,3.9569732,-0.5941494056712962440972222222,123
8,Cone,medium,4.20809075,0.0373432132870369652777777777,170
8,Gravity,high,10.4608074,2.9484862976620370913194444448,266
8,Gravity,low,3.9594785999999997,-2.2684973873379631607638888889,34
8,Gravity,medium,5.7470856,-0.3855693374074073930555555556,145
8,Three,high,8.13455125,3.7984212059953703454861111111,274
8,Three,low,3.8996682,-0.3857435894212963399305555555,144
8,Three,medium,4.057853799999999,-0.8012352832407416305555555556,110
8,Two,high,7.3559045,3.0313902372453704871527777778,267
8,Two,low,3.4348824000000002,-1.1421803165046294357638888889,88
8,Two,medium,6.6006746,2.1215930584259259777777777777,247
9,Cone,high,2.311377,-1.1572306898379630045138888889,87
9,Cone,low,2.358423,-2.1926996056712962440972222222,37
9,Cone,medium,2.7651366,-1.4056109367129630347222222223,75
9,Gravity,high,7.0863738,-0.4259473023379629086805555552,137
9,Gravity,low,7.6962574,1.4682814126620371392361111111,229
9,Gravity,medium,5.646908600000001,-0.4857463374074063930555555556,131
9,Three,high,3.808838,-0.5272920440046296545138888889,129
9,Three,low,2.6218996,-1.6635121894212963399305555555,64
9,Three,medium,4.9307616,0.0716725167592593694444444444,176
9,Two,high,9.2454468,4.9209325372453704871527777778,281
9,Two,low,4.159136999999999,-0.4179257165046306357638888889,138
9,Two,medium,5.3588043999999995,0.8797228584259254777777777777,210
