Subject,techniquedensity,trial_time,aligned(trial_time) for techniquedensity,ART-C(trial_time) for techniquedensity
2,Threehigh,3.8988892,-3.4788874722800925760416666667,38
2,Threelow,7.3051024,-0.0726742722800925760416666667,174
2,Threemedium,6.768664200000001,-0.6091124722800915760416666667,146
2,Twohigh,5.6093291999999995,-1.7684474722800930760416666667,99
2,Twolow,5.1013246,-2.2764520722800925760416666667,79
2,Twomedium,8.2474588,0.8696821277199074239583333333,198
20,Conehigh,6.3347316,-1.0430450722800925760416666667,131
20,Conelow,6.7745818,-0.6031948722800925760416666667,147
20,Conemedium,9.840227200000001,2.4624505277199084239583333333,233
20,Gravityhigh,6.8877675,-0.4900091722800925760416666667,156
20,Gravitylow,6.863720600000001,-0.5140560722800915760416666667,154
20,Gravitymedium,12.697172,5.3193953277199074239583333333,267
20,Threehigh,8.3737288,0.9959521277199074239583333333,203
20,Threelow,5.9916744,-1.3861022722800925760416666667,115
20,Threemedium,5.2811378,-2.0966388722800925760416666667,83
20,Twohigh,5.5330932,-1.8446834722800925760416666667,93
20,Twolow,7.2497856,-0.1279910722800925760416666667,172
20,Twomedium,6.8663516,-0.5114250722800925760416666667,155
21,Conehigh,10.269029999999999,2.8912533277199064239583333333,239
21,Conelow,3.8594602,-3.5183164722800925760416666667,36
21,Conemedium,3.2996094,-4.0781672722800925760416666667,16
21,Gravityhigh,15.280719199999998,7.9029425277199054239583333333,277
21,Gravitylow,6.899756999999999,-0.4780196722800935760416666667,158
21,Gravitymedium,3.6669846,-3.7107920722800925760416666667,32
21,Threehigh,7.6685304,0.2907537277199074239583333333,183
21,Threelow,5.284131,-2.0936456722800925760416666667,84
21,Threemedium,4.4165768,-2.9611998722800925760416666667,58
21,Twohigh,7.0304756,-0.3473010722800925760416666667,164
21,Twolow,3.2469636,-4.1308130722800925760416666667,14
21,Twomedium,3.1649643999999997,-4.2128122722800928760416666667,13
22,Conehigh,4.1128202,-3.2649564722800925760416666667,45
22,Conelow,4.8254186,-2.5523580722800925760416666667,69
22,Conemedium,5.6719682,-1.7058084722800925760416666667,105
22,Gravityhigh,10.638941399999998,3.2611647277199054239583333333,244
22,Gravitylow,6.17312,-1.2046566722800925760416666667,124
22,Gravitymedium,6.8614679999999995,-0.5163086722800930760416666667,153
22,Threehigh,3.53797,-3.8398066722800925760416666667,27
22,Threelow,2.8059632,-4.5718134722800925760416666667,7
22,Threemedium,3.8861024,-3.4916742722800925760416666667,37
22,Twohigh,3.4965432,-3.8812334722800925760416666667,24
22,Twolow,3.943683,-3.4340936722800925760416666667,40
22,Twomedium,4.9152678000000005,-2.4625088722800920760416666667,70
23,Conehigh,9.957497,2.5797203277199074239583333333,234
23,Conelow,6.9528814,-0.4248952722800925760416666667,160
23,Conemedium,5.496729,-1.8810476722800925760416666667,89
23,Gravityhigh,9.6281804,2.2504037277199074239583333333,228
23,Gravitylow,9.010440800000001,1.6326641277199084239583333333,217
23,Gravitymedium,6.3765104,-1.0012662722800925760416666667,133
23,Threehigh,12.6494272,5.2716505277199074239583333333,265
23,Threelow,5.519867,-1.8579096722800925760416666667,90
23,Threemedium,6.9881096,-0.3896670722800925760416666667,162
23,Twohigh,5.41900625,-1.9587704222800925760416666667,86
23,Twolow,4.9594056,-2.4183710722800925760416666667,72
23,Twomedium,4.0122194,-3.3655572722800925760416666667,42
24,Conehigh,3.302588,-4.0751886722800925760416666667,17
24,Conelow,8.431397200000001,1.0536205277199084239583333333,204
24,Conemedium,5.652636599999999,-1.7251400722800935760416666667,103
24,Gravityhigh,12.287768600000001,4.9099919277199084239583333333,262
24,Gravitylow,8.809937399999999,1.4321607277199064239583333333,213
24,Gravitymedium,9.3919674,2.0141907277199074239583333333,224
24,Threehigh,12.578505400000001,5.2007287277199084239583333333,264
24,Threelow,7.432271,0.0544943277199074239583333333,178
24,Threemedium,9.1016486,1.7238719277199074239583333333,220
24,Twohigh,7.7808948000000004,0.4031181277199078239583333333,189
24,Twolow,5.036181600000001,-2.3415950722800915760416666667,74
24,Twomedium,9.4934566,2.1156799277199074239583333333,226
25,Conehigh,4.5509034,-2.8268732722800925760416666667,61
25,Conelow,3.4006225999999997,-3.9771540722800928760416666667,20
25,Conemedium,5.5834468,-1.7943298722800925760416666667,97
25,Gravityhigh,4.555786,-2.8219906722800925760416666667,62
25,Gravitylow,3.6761961999999997,-3.7015804722800928760416666667,33
25,Gravitymedium,4.3492552,-3.0285214722800925760416666667,56
25,Threehigh,6.847423600000001,-0.5303530722800915760416666667,152
25,Threelow,3.6081392,-3.7696374722800925760416666667,30
25,Threemedium,3.2514220000000003,-4.1263546722800922760416666667,15
25,Twohigh,3.4023074,-3.9754692722800925760416666667,21
25,Twolow,3.0909058000000003,-4.2868708722800922760416666667,11
25,Twomedium,2.169403,-5.2083736722800925760416666667,2
3,Conehigh,4.1487792,-3.2289974722800925760416666667,46
3,Conelow,5.1010488,-2.2767278722800925760416666667,78
3,Conemedium,7.2674316,-0.1103450722800925760416666667,173
3,Gravityhigh,5.89572525,-1.4820514222800925760416666667,112
3,Gravitylow,5.560487,-1.8172896722800925760416666667,96
3,Gravitymedium,9.1301994,1.7524227277199074239583333333,221
3,Threehigh,6.658471799999999,-0.7193048722800935760416666667,140
3,Threelow,8.6804185,1.3026418277199074239583333333,211
3,Threemedium,4.2428344000000004,-3.1349422722800921760416666667,50
3,Twohigh,7.3067144,-0.0710622722800925760416666667,175
3,Twolow,2.7545653999999997,-4.6232112722800928760416666667,5
3,Twomedium,2.9291992000000002,-4.4485774722800923760416666667,10
4,Conehigh,5.4882966,-1.8894800722800925760416666667,88
4,Conelow,4.5159296,-2.8618470722800925760416666667,60
