Subject,technique,density,trial_time,aligned(trial_time) for technique,aligned(trial_time) for density,aligned(trial_time) for technique*density,ART(trial_time) for technique,ART(trial_time) for density,ART(trial_time) for technique*density
15,Cone,medium,3.3582030000000005,-1.4253705674652773006944444445,-0.8125445367129625347222222223,-0.4712149774999995180555555555,85,108,126
15,Gravity,high,5.3210232,-1.3565687511226851368055555552,-2.1912979023379629086805555552,-2.1824890587731480663194444445,88,38,33
15,Gravity,low,4.0820252,0.2130935634606481923611111111,-2.1459507873379628607638888889,-1.8971718591898147850694444445,169,41,45
15,Gravity,medium,4.535819999999999,0.3511637634606471340277777778,-1.5968349374074083930555555556,-1.8544227091203713111111111111,175,68,49
15,Three,high,4.6705078,-0.9616667962615740618055555556,0.3343777559953703454861111111,-0.7022307553009258871527777778,111,186,111
15,Three,low,2.5284362,-1.5287049420949074659722222222,-1.7569755894212963399305555555,-1.3199871557175926059027777778,77,58,77
15,Three,medium,6.6999886,1.6581245141550927173611111111,1.8408995167592593694444444444,2.4405195943518518680555555556,228,237,259
15,Two,high,2.5119292,-3.1419537469560184048611111111,-1.8125850627546295128472222222,-2.8274852233564814024305555556,9,55,12
15,Two,low,2.488141,-1.8939752011226852465277777778,-2.0889217165046296357638888889,-1.3269582237731481211805555556,57,44,76
15,Two,medium,2.5658232,-2.1293574761226851590277777778,-1.9132583415740740222222222223,-1.6603216737037036472222222222,47,50,56
16,Cone,high,3.525271,-1.6694322702430555256944444445,0.0566633101620369954861111111,-1.4174165271527777732638888889,73,174,70
16,Cone,low,2.1495667999999997,-2.6033361864930557840277777778,-2.4015558056712965440972222222,-1.2688055275694447920138888889,28,26,83
16,Cone,medium,3.5808746,-1.2026989674652778006944444445,-0.5898729367129630347222222223,-0.2485433775000000180555555555,96,124,143
16,Gravity,high,8.244587,1.5669950488773148631944444448,0.7322658976620370913194444448,0.7410747412268519336805555555,222,204,205
16,Gravity,low,5.5995484,1.7306167634606481923611111111,-0.6284275873379628607638888889,-0.3796486591898147850694444445,233,120,136
16,Gravity,medium,6.9276946,2.7430383634606481340277777778,0.7950396625925926069444444444,0.5374518908796296888888888889,262,206,199
16,Three,high,3.7795312,-1.8526433962615740618055555556,-0.5565988440046296545138888889,-1.5932073553009258871527777778,61,127,60
16,Three,low,3.8853332000000003,-0.1718079420949071659722222222,-0.4000785894212960399305555555,0.0369098442824076940972222222,151,140,161
16,Three,medium,4.4259506,-0.6159134858449072826388888889,-0.4331384832407406305555555556,0.1664815943518518680555555556,127,136,172
16,Two,high,3.4225342,-2.2313487469560184048611111111,-0.9019800627546295128472222222,-1.9168802233564814024305555556,44,102,42
16,Two,low,3.1637086,-1.2184076011226852465277777778,-1.4133541165046296357638888889,-0.6513906237731481211805555556,93,74,114
16,Two,medium,4.1538696,-0.5413110761226851590277777778,-0.3252119415740740222222222223,-0.0722752737037036472222222222,135,148,155
17,Cone,high,6.3571776,1.1624743297569444743055555555,2.8885699101620369954861111111,1.4144900728472222267361111111,209,265,229
17,Cone,low,6.5714722,1.8185692135069445159722222222,2.0203495943287037559027777778,3.1530998724305555079861111111,236,244,270
17,Cone,medium,4.3579956,-0.4255779674652778006944444445,0.1872480632870369652777777777,0.5285776224999999819444444445,139,182,198
17,Gravity,high,5.0544792,-1.6231127511226851368055555552,-2.4578419023379629086805555552,-2.4490330587731480663194444445,74,22,25
17,Gravity,low,2.3642578,-1.5046738365393518076388888889,-3.8637181873379628607638888889,-3.6149392591898147850694444445,79,1,2
17,Gravity,medium,3.9565794,-0.2280768365393518659722222222,-2.1760755374074073930555555556,-2.4336633091203703111111111111,149,39,26
17,Three,high,2.4590332,-3.1731413962615740618055555556,-1.8770968440046296545138888889,-2.9137053553009258871527777778,8,53,11
17,Three,low,2.2006106,-1.8565305420949074659722222222,-2.0848011894212963399305555555,-1.6478127557175926059027777778,60,45,57
17,Three,medium,2.3096436,-2.7322204858449072826388888889,-2.5494454832407406305555555556,-1.9498254056481481319444444444,22,16,40
17,Two,high,1.60597,-4.0479129469560184048611111111,-2.7185442627546295128472222222,-3.7334444233564814024305555556,1,10,1
17,Two,low,1.4415042,-2.9406120011226852465277777778,-3.1355585165046296357638888889,-2.3735950237731481211805555556,15,4,28
17,Two,medium,1.8693832000000001,-2.8257974761226850590277777778,-2.6096983415740739222222222223,-2.3567616737037035472222222222,18,15,29
18,Cone,high,3.4974016,-1.6973016702430555256944444445,0.0287939101620369954861111111,-1.4452859271527777732638888889,72,168,68
18,Cone,low,2.5030546,-2.2498483864930554840277777778,-2.0480680056712962440972222222,-0.9153177275694444920138888889,43,47,102
18,Cone,medium,2.4531158,-2.3304577674652778006944444445,-1.7176317367129630347222222223,-1.3763021775000000180555555555,40,62,72
18,Gravity,high,7.8767144,1.1991224488773148631944444448,0.3643932976620370913194444448,0.3732021412268519336805555555,210,188,185
18,Gravity,low,5.9699852,2.1010535634606481923611111111,-0.2579907873379628607638888889,-0.0092118591898147850694444445,246,151,159
18,Gravity,medium,7.4233428,3.2386865634606481340277777778,1.2906878625925926069444444444,1.0331000908796296888888888889,268,225,216
18,Three,high,5.312481,-0.3196935962615740618055555556,0.9763509559953703454861111111,-0.0602575553009258871527777778,144,216,156
18,Three,low,3.7888396,-0.2683015420949074659722222222,-0.4965721894212963399305555555,-0.0595837557175926059027777778,148,130,157
18,Three,medium,3.668988,-1.3728760858449072826388888889,-1.1901010832407406305555555556,-0.5904810056481481319444444444,87,85,117
18,Two,high,5.1953856,-0.4584973469560184048611111111,0.8708713372453704871527777778,-0.1440288233564814024305555556,136,209,150
